date,gyro_x,gyro_y,gyro_z
2014-06-07,216,9,-5
2014-06-08,207,2,-2
2014-06-09,202,-1,-1
2014-06-10,198,-5,1
2014-06-11,193,-9,2
2014-06-12,191,-11,4
2014-06-13,187,-15,4
2014-06-14,184,-19,4
2014-06-15,180,-22,5
2014-06-16,175,-29,8
2014-06-17,171,-33,12
2014-06-18,165,-39,20
2014-06-19,160,-42,25
2014-06-20,155,-44,30
2014-06-21,151,-45,35
2014-06-22,148,-45,39
2014-06-23,144,-48,47
2014-06-24,143,-47,53
2014-06-25,143,-47,62
2014-06-26,142,-46,69
2014-06-27,140,-46,76
2014-06-28,137,-45,81
2014-06-29,135,-41,81
2014-06-30,135,-35,80
2014-07-01,135,-29,82
2014-07-02,134,-25,83
2014-07-03,137,-19,84
2014-07-04,143,-11,85
2014-07-05,150,-4,85
2014-07-06,159,6,84
2014-07-07,168,15,84
2014-07-08,176,23,85
2014-07-09,187,34,88
2014-07-10,203,46,91
2014-07-11,216,55,94
2014-07-12,233,67,97
2014-07-13,247,76,96
2014-07-14,262,86,3
2014-07-15,275,85,-4
2014-07-16,283,82,-68
2014-07-17,290,81,-76
2014-07-18,293,80,-125
2014-07-19,293,78,-152
2014-07-20,291,71,-175
2014-07-21,289,61,176
2014-07-22,288,54,174
2014-07-23,300,43,174
2014-07-24,305,31,176
2014-07-25,309,23,178
2014-07-26,314,15,-176
2014-07-27,317,10,-172
2014-07-28,319,9,-174
2014-07-29,321,9,-178
2014-07-30,322,8,179
2014-07-31,323,9,179
2014-08-01,323,12,178
2014-08-02,323,14,177
2014-08-03,323,13,177
2014-08-04,323,14,177
2014-08-05,324,14,177
2014-08-06,324,13,177
2014-08-07,324,12,177
2014-08-08,324,12,177
2014-08-09,325,12,177
2014-08-10,325,12,177
2014-08-11,325,11,177
2014-08-12,325,11,177
2014-08-13,325,11,177
2014-08-14,325,11,177
2014-08-15,326,11,177
2014-08-16,326,11,177
2014-08-17,326,11,177
2014-08-18,326,11,177
2014-08-19,326,10,177
